miRNA	CellType	pvalue	OddsRatio	Total_Targets	Total_Markers	Number_of_Markers_Targeted	Markers_Targeted	FDR	FDR.bonf
hsa-miR-20a-5p	Excitatory Neuron	0.525714072695344	1.13158593343818	698	698	27	ATP2B1, PRKCB, DIAPH2, PTPRO, EIF4A2, EPHA4, REEP5, SSX2IP, APP, GNAS, UBC, SERINC1, PRKAR1A, TRIM37, MORF4L1, KCNB1, MAPK1, RORA, PTEN, HSPA8, YWHAZ, PEA15, PGM2L1, SORCS2, LUZP2, ARAP2, RPS27A	1	1
hsa-miR-20a-5p	Granule cell	0.448652052666914	0.465074822169977	698	122	2	RABGAP1L, KCND3	1	1
hsa-miR-20a-5p	Inhibitory Neuron	0.534908416521572	1.16146365128653	698	504	20	TIMP2, NRIP3, ELAVL2, GNAS, KCND3, NTN4, PTPRO, PGM2L1, TCF4, CIT, KIT, MCC, PRKCB, FBXL7, LUZP2, NFIB, GPR155, RORA, KIF26B, AAK1	1	1
hsa-miR-20a-5p	Purkinje Cell	0.849618186692636	0.802008393357686	698	215	6	RORA, KIT, NFIB, PTPN4, IQSEC1, NIN	1	1
hsa-miR-20a-5p	Endothelial cell	0.411933134662307	0	698	47	0		1	1
hsa-miR-20a-5p	Pericyte	0.458593505218701	1.50186312504411	698	59	3	PARD3, RORA, PTEN	1	1
hsa-miR-20a-5p	Astrocyte	1	0.847485986169954	698	136	4	FBXL7, RORA, PARD3, NFIB	1	1
hsa-miR-20a-5p	Cerebellar Astrocyte	1	0.852475908138502	698	169	5	RORA, MCC, PARD3, GABBR1, RPS6KA5	1	1
hsa-miR-20a-5p	Oligodendrocyte	0.0088010464934493	2.42819805161365	698	139	11	CERCAM, PIP4K2A, SCD, PXK, HIP1, MAP7, FMNL2, ARAP2, MYO1D, FBXL7, ZDHHC20	0.701174563370518	1
hsa-miR-20a-5p	Oligodendrocyte Precursor Cell	0.799173010839047	1.01813208053491	698	114	4	LUZP2, HIP1, PEAK1, KIF26B	1	1
hsa-miR-20a-5p	Cerebelllar Oligodendrocyte Precursor Cell	0.504081777372203	1.30954895459377	698	157	7	CADM2, TCF4, PARD3, CCND2, NFIB, BBX, UBR5	1	1
hsa-miR-20a-5p	Microglia	0.725775255937497	0.458182192331945	698	62	1	DIAPH2	1	1
hsa-miR-146a-5p	Excitatory Neuron	0.452801120404888	0.453661713426634	125	698	2	RARB, TLL1	1	1
hsa-miR-146a-5p	Granule cell	1	0	125	122	0		1	1
hsa-miR-146a-5p	Inhibitory Neuron	1	0.962650220072731	125	504	3	ERBB4, ZNF292, RARB	1	1
hsa-miR-146a-5p	Purkinje Cell	1	0.749933808347295	125	215	1	NOS1	1	1
hsa-miR-146a-5p	Endothelial cell	1	0	125	47	0		1	1
hsa-miR-146a-5p	Pericyte	1	0	125	59	0		1	1
hsa-miR-146a-5p	Astrocyte	0.5706138097968	1.19347510232918	125	136	1	GPM6B	1	1
hsa-miR-146a-5p	Cerebellar Astrocyte	1	0.957471287547844	125	169	1	GPM6B	1	1
hsa-miR-146a-5p	Oligodendrocyte	0.578574243065093	1.16735647570742	125	139	1	GPM6B	1	1
hsa-miR-146a-5p	Oligodendrocyte Precursor Cell	1	0	125	114	0		1	1
hsa-miR-146a-5p	Cerebelllar Oligodendrocyte Precursor Cell	0.623353855304152	1.03175178321395	125	157	1	CCND2	1	1
hsa-miR-146a-5p	Microglia	1	0	125	62	0		1	1
hsa-miR-122-5p	Excitatory Neuron	0.589645547421098	0.816231578776311	422	698	12	FMN1, CALM3, YWHAB, ALDOA, RAB6B, MAPK1, C16orf45, RAC1, TSHZ2, FOXP1, ADCY2, XKR4	1	1
hsa-miR-122-5p	Granule cell	0.743489016433113	1.18516219718845	422	122	3	ERC1, XKR6, VWC2	1	1
hsa-miR-122-5p	Inhibitory Neuron	0.342158986281966	0.655700793430076	422	504	7	VWC2, EGFR, ADCY2, TSHZ2, XKR4, GPR155, FMN1	1	1
hsa-miR-122-5p	Purkinje Cell	0.334723782816451	0.438286470346429	422	215	2	XKR4, ERC1	1	1
hsa-miR-122-5p	Endothelial cell	0.0744888346744703	3.21718522915311	422	47	3	HLA-E, ESYT2, IGF1R	1	1
hsa-miR-122-5p	Pericyte	1	0.809205509536683	422	59	1	ATP1A2	1	1
hsa-miR-122-5p	Astrocyte	0.371873004296991	1.42701353595249	422	136	4	ATP1A2, GLUL, ADCY2, MKLN1	1	1
hsa-miR-122-5p	Cerebellar Astrocyte	1	0.847592131504318	422	169	3	ANK2, ATP1A2, RPS6KA5	1	1
hsa-miR-122-5p	Oligodendrocyte	1	0.684055836100301	422	139	2	CNDP1, PLXDC2	1	1
hsa-miR-122-5p	Oligodendrocyte Precursor Cell	0.73500813566202	0.414196693047176	422	114	1	XKR4	1	1
hsa-miR-122-5p	Cerebelllar Oligodendrocyte Precursor Cell	0.0467069093367942	2.21149932393683	422	157	7	IGF1R, AKT3, NCAM1, MKLN1, TFDP2, ANKRD36, ERC1	1	1
hsa-miR-122-5p	Microglia	0.371845824888454	1.56794727232002	422	62	2	PLXDC2, C3	1	1
hsa-miR-222-3p	Excitatory Neuron	0.587812060791187	0.564330287044294	101	698	2	STMN1, PTEN	1	1
hsa-miR-222-3p	Granule cell	0.457835161451131	1.65423280604814	101	122	1	ABLIM1	1	1
hsa-miR-222-3p	Inhibitory Neuron	1	0.790220493470455	101	504	2	KIT, TRPS1	1	1
hsa-miR-222-3p	Purkinje Cell	1	0.931031201512522	101	215	1	KIT	1	1
hsa-miR-222-3p	Endothelial cell	0.209747407015193	4.36725737845085	101	47	1	ABCG2	1	1
hsa-miR-222-3p	Pericyte	0.255910144451019	3.46159935979837	101	59	1	PTEN	1	1
hsa-miR-222-3p	Astrocyte	0.147772444426174	3.01546896526521	101	136	2	TRPS1, ABLIM1	1	1
hsa-miR-222-3p	Cerebellar Astrocyte	0.572166290182107	1.18867732412875	101	169	1	TRPS1	1	1
hsa-miR-222-3p	Oligodendrocyte	1	0	101	139	0		1	1
hsa-miR-222-3p	Oligodendrocyte Precursor Cell	1	0	101	114	0		1	1
hsa-miR-222-3p	Cerebelllar Oligodendrocyte Precursor Cell	0.184777679762056	2.6042648521101	101	157	2	AKT3, TMCC1	1	1
hsa-miR-222-3p	Microglia	1	0	101	62	0		1	1
hsa-miR-21-5p	Excitatory Neuron	0.276167339182401	1.45953351496348	162	698	8	MEF2C, EIF4A2, BASP1, RTN4, PTEN, SOX5, ITGB8, RASGRP1	1	1
hsa-miR-21-5p	Granule cell	0.255534860228623	2.07874669861477	162	122	2	TIAM1, CADM1	1	1
hsa-miR-21-5p	Inhibitory Neuron	0.303208400136351	1.51205536395326	162	504	6	EGFR, NFIB, MEF2C, FGF12, TIAM1, LRRFIP1	1	1
hsa-miR-21-5p	Purkinje Cell	0.247602368029395	1.76790973864051	162	215	3	TIAM1, NFIB, CADM1	1	1
hsa-miR-21-5p	Endothelial cell	0.31487208154521	2.70439693854884	162	47	1	ABCB1	1	1
hsa-miR-21-5p	Pericyte	0.378015559803669	2.1437361677746	162	59	1	PTEN	1	1
hsa-miR-21-5p	Astrocyte	0.0238926716694287	3.8248031615661	162	136	4	SOX5, CADM1, DOCK4, NFIB	0.88234335238802	1
hsa-miR-21-5p	Cerebellar Astrocyte	1	0.736071333231986	162	169	1	SOX5	1	1
hsa-miR-21-5p	Oligodendrocyte	1	0.897430045419644	162	139	1	DOCK5	1	1
hsa-miR-21-5p	Oligodendrocyte Precursor Cell	0.600980440754487	1.09733917260454	162	114	1	SOX5	1	1
hsa-miR-21-5p	Cerebelllar Oligodendrocyte Precursor Cell	0.00167615773883755	5.0748581145184	162	157	6	GLCCI1, SOX5, LRP6, ATF7IP, NFIB, CADM1	0.431062110802561	1
hsa-miR-21-5p	Microglia	0.0134850391170564	6.399957278836	162	62	3	DOCK4, NAV3, MEF2C	0.769909132415281	1
hsa-miR-148a-3p	Excitatory Neuron	0.187852583866643	1.66879705810234	107	698	6	YWHAB, HSP90AA1, PHACTR2, FOXP1, KIAA1456, NPTX1	1	1
hsa-miR-148a-3p	Granule cell	0.136236503289991	3.17612959043811	107	122	2	ABLIM1, KIAA1456	1	1
hsa-miR-148a-3p	Inhibitory Neuron	0.343788247563062	1.52474531595422	107	504	4	APLP2, ALCAM, KIAA1456, STARD13	1	1
hsa-miR-148a-3p	Purkinje Cell	0.314757584358543	1.78117246744781	107	215	2	PHACTR2, JARID2	1	1
hsa-miR-148a-3p	Endothelial cell	1	0	107	47	0		1	1
hsa-miR-148a-3p	Pericyte	0.268896450869678	3.26473607206009	107	59	1	COLEC12	1	1
hsa-miR-148a-3p	Astrocyte	0.161835129441528	2.84233726929877	107	136	2	BAZ2B, ABLIM1	1	1
hsa-miR-148a-3p	Cerebellar Astrocyte	0.0124463708201317	4.69863964571808	107	169	4	COLEC12, STARD13, BAZ2B, RPS6KA5	0.74814291344465	1
hsa-miR-148a-3p	Oligodendrocyte	0.0375226652601625	4.24058614604438	107	139	3	QKI, ALCAM, BAZ2B	1	1
hsa-miR-148a-3p	Oligodendrocyte Precursor Cell	0.122064334035677	3.40435401919625	107	114	2	QKI, ALCAM	1	1
hsa-miR-148a-3p	Cerebelllar Oligodendrocyte Precursor Cell	0.201626629497922	2.4547559241973	107	157	2	ALCAM, QKI	1	1
hsa-miR-148a-3p	Microglia	0.280465013042925	3.10370434791273	107	62	1	QKI	1	1
hsa-miR-93-5p	Excitatory Neuron	0.572044301194429	1.11194371184423	604	698	23	ATP2B1, PRKCB, EIF4A2, REEP5, SSX2IP, GNAS, UBC, SERINC1, PRKAR1A, TRIM37, MORF4L1, KCNB1, MAPK1, RORA, PTEN, HSPA8, YWHAZ, PEA15, SORCS2, LUZP2, ITGB8, ARAP2, RPS27A	1	1
hsa-miR-93-5p	Granule cell	0.590498578433303	0.5402923258736	604	122	2	RABGAP1L, KCND3	1	1
hsa-miR-93-5p	Inhibitory Neuron	0.894696042747738	0.92712145280884	604	504	14	NRIP3, ELAVL2, GNAS, KCND3, TCF4, CIT, NETO2, MCC, PRKCB, FBXL7, LUZP2, GPR155, RORA, AAK1	1	1
hsa-miR-93-5p	Purkinje Cell	0.101187831536835	0.302944616853155	604	215	2	RORA, IQSEC1	1	1
hsa-miR-93-5p	Endothelial cell	0.405086834542036	0	604	47	0		1	1
hsa-miR-93-5p	Pericyte	0.257792589024817	1.74514971550615	604	59	3	PARD3, RORA, PTEN	1	1
hsa-miR-93-5p	Astrocyte	1	0.985000721527538	604	136	4	FBXL7, ZNRF3, RORA, PARD3	1	1
hsa-miR-93-5p	Cerebellar Astrocyte	0.821173748354535	0.786673720080228	604	169	4	RORA, MCC, PARD3, GABBR1	1	1
hsa-miR-93-5p	Oligodendrocyte	0.038314280789144	2.26949826551714	604	139	9	CERCAM, PIP4K2A, SCD, PXK, HIP1, ARAP2, MYO1D, FBXL7, ZDHHC20	1	1
hsa-miR-93-5p	Oligodendrocyte Precursor Cell	0.585421234320389	1.1833210546642	604	114	4	LUZP2, HIP1, KAT2B, PEAK1	1	1
hsa-miR-93-5p	Cerebelllar Oligodendrocyte Precursor Cell	1	0.848894534089933	604	157	4	CADM2, TCF4, PARD3, BBX	1	1
hsa-miR-93-5p	Microglia	0.266087216888592	0	604	62	0		1	1
hsa-miR-9-5p	Excitatory Neuron	0.33793905364929	0.416185741644481	136	698	2	NTRK3, CAMKK2	1	1
hsa-miR-9-5p	Granule cell	0.561785744076585	1.22324703531975	136	122	1	CAMKK2	1	1
hsa-miR-9-5p	Inhibitory Neuron	0.395517300663529	1.49942130764676	136	504	5	GALNTL6, ZMAT4, ALCAM, STARD13, CA8	1	1
hsa-miR-9-5p	Purkinje Cell	1	0.688449378454799	136	215	1	GALNTL6	1	1
hsa-miR-9-5p	Endothelial cell	1	0	136	47	0		1	1
hsa-miR-9-5p	Pericyte	0.328588697384993	2.5598261895438	136	59	1	PDGFRB	1	1
hsa-miR-9-5p	Astrocyte	1	0	136	136	0		1	1
hsa-miR-9-5p	Cerebellar Astrocyte	0.105498110765033	2.70875562881938	136	169	3	SCD5, STARD13, ZNF704	1	1
hsa-miR-9-5p	Oligodendrocyte	0.0673274285684113	3.31125270466774	136	139	3	MAP7, ALCAM, SCD5	1	1
hsa-miR-9-5p	Oligodendrocyte Precursor Cell	0.178530708282783	2.66377014322105	136	114	2	SCD5, ALCAM	1	1
hsa-miR-9-5p	Cerebelllar Oligodendrocyte Precursor Cell	1	0.947153466667441	136	157	1	ALCAM	1	1
hsa-miR-9-5p	Microglia	1	0	136	62	0		1	1
hsa-miR-765	Excitatory Neuron	0.00217071898261008	2.07958165518563	338	698	23	HPCAL1, RGS6, NTRK3, YWHAG, RPH3A, LINGO1, ITM2C, WBP2, PKM, TSPYL4, KIF5A, USP22, YWHAE, GABRB2, NEGR1, YWHAZ, SYT7, PACSIN1, STMN3, SORCS2, RAP1GAP2, CSGALNACT1, MGAT5	0.456378999073617	1
hsa-miR-765	Granule cell	1	0.981201305472451	338	122	2	KCND3, CPE	1	1
hsa-miR-765	Inhibitory Neuron	1	0.948438267286277	338	504	8	INPP4B, KCND3, MGAT5, RPH3A, RGS6, HPCAL1, ITM2C, ASTN2	1	1
hsa-miR-765	Purkinje Cell	0.591188595039297	0.550201436768214	338	215	2	INPP4B, ASTN2	1	1
hsa-miR-765	Endothelial cell	1	0	338	47	0		1	1
hsa-miR-765	Pericyte	1	1.01519709142413	338	59	1	INPP4B	1	1
hsa-miR-765	Astrocyte	0.0268031311047491	2.74826160049917	338	136	6	MSI2, CSGALNACT1, CPE, PPP2R2B, NAV2, PSD3	0.903582044913731	1
hsa-miR-765	Cerebellar Astrocyte	0.00764285231159897	2.97201096170695	338	169	8	PPP2R2B, ADAMTSL1, MSI2, ARHGAP31, PSD3, CPE, SPATA6, NAV2	0.687326567999172	1
hsa-miR-765	Oligodendrocyte	1	0.858712849671343	338	139	2	PIP4K2A, PPP2R2B	1	1
hsa-miR-765	Oligodendrocyte Precursor Cell	0.442829499815017	1.59654509891768	338	114	3	NAV2, SPATA6, ASTN2	1	1
hsa-miR-765	Cerebelllar Oligodendrocyte Precursor Cell	0.748350227842519	1.1482941899245	338	157	3	NAV2, CBLB, INPP4B	1	1
hsa-miR-765	Microglia	0.628807840669179	0	338	62	0		1	1
hsa-miR-7-5p	Excitatory Neuron	0.840641056824289	1.0656760147911	191	698	7	CNTNAP2, RAB3A, PNMA2, RNF11, SNCA, NREP, SEMA6D	1	1
hsa-miR-7-5p	Granule cell	1	0.866773840531412	191	122	1	SLIT3	1	1
hsa-miR-7-5p	Inhibitory Neuron	0.482712658982177	1.27318173865349	191	504	6	RBMS3, CNTNAP2, SEMA6D, PNMA2, EGFR, PPIP5K2	1	1
hsa-miR-7-5p	Purkinje Cell	0.275132539121311	0	191	215	0		1	1
hsa-miR-7-5p	Endothelial cell	0.359922123482163	2.28839758875796	191	47	1	RBMS3	1	1
hsa-miR-7-5p	Pericyte	0.428932134323632	1.81380519183134	191	59	1	RBMS3	1	1
hsa-miR-7-5p	Astrocyte	0.642313259196647	0	191	136	0		1	1
hsa-miR-7-5p	Cerebellar Astrocyte	0.414420759182072	0	191	169	0		1	1
hsa-miR-7-5p	Oligodendrocyte	1	0.759352967923885	191	139	1	SECISBP2L	1	1
hsa-miR-7-5p	Oligodendrocyte Precursor Cell	0.630556007643745	0	191	114	0		1	1
hsa-miR-7-5p	Cerebelllar Oligodendrocyte Precursor Cell	0.185426507774898	2.06130611373262	191	157	3	IRS2, AKT3, ANKRD36	1	1
hsa-miR-7-5p	Microglia	1	0	191	62	0		1	1
hsa-miR-661	Excitatory Neuron	0.0085468277141579	0.372941983034428	450	698	6	ALDOA, UBC, ADAMTS17, YWHAZ, MAGI3, RPL23	0.701174563370518	1
hsa-miR-661	Granule cell	0.11893643087188	0	450	122	0		1	1
hsa-miR-661	Inhibitory Neuron	0.0640626075408609	0.434364315949349	450	504	5	CNTN4, ZNF292, PPM1K, MAGI3, ADAMTS17	1	1
hsa-miR-661	Purkinje Cell	0.016679115465667	0	450	215	0		0.792587861752994	1
hsa-miR-661	Endothelial cell	0.628118619833916	0	450	47	0		1	1
hsa-miR-661	Pericyte	0.378744572253488	1.54535592024798	450	59	2	PARD3, SASH1	1	1
hsa-miR-661	Astrocyte	0.549452226658893	1.33555153528563	450	136	4	AHCYL2, SASH1, PARD3, FUT9	1	1
hsa-miR-661	Cerebellar Astrocyte	1	0.793368900895258	450	169	3	STK32A, PARD3, SSBP2	1	1
hsa-miR-661	Oligodendrocyte	0.379563638832703	0.317156227514591	450	139	1	SH3D19	1	1
hsa-miR-661	Oligodendrocyte Precursor Cell	1	0.784327084385376	450	114	2	ADAMTS17, SH3D19	1	1
