"Gene Symbol","p-value","FDR","Odd ratio","Number of interactions","microRNA 1","microRNA 2","microRNA 3"
"BARHL2","0.000742627989077657","0.128360391650577","0.0272727272727273","2","hsa-miR-148a-3p","hsa-miR-19b-3p",""
"C6orf222","0.000372456499137409","0.128360391650577","0.0204545454545455","2","hsa-miR-148a-3p","hsa-miR-19b-3p",""
"C7orf71","0.00012453300124533","0.128360391650577","0.0136363636363636","2","hsa-miR-148a-3p","hsa-miR-155-5p",""
"CHMP4B","0.000742627989077657","0.128360391650577","0.0272727272727273","2","hsa-miR-148a-3p","hsa-miR-19b-3p",""
"CHRNB2","0.00012453300124533","0.128360391650577","0.0136363636363636","2","hsa-miR-148a-3p","hsa-miR-19b-3p",""
"CSF2RB","0.000742627989077657","0.128360391650577","0.0272727272727273","2","hsa-miR-155-5p","hsa-miR-19b-3p",""
"FAM104A","0.000466141876221052","0.128360391650577","0.0818181818181818","3","hsa-miR-148a-3p","hsa-miR-155-5p","hsa-miR-19b-3p"
"MYBL1","0.000466141876221052","0.128360391650577","0.0818181818181818","3","hsa-miR-148a-3p","hsa-miR-155-5p","hsa-miR-19b-3p"
"NPEPL1","0.000742627989077657","0.128360391650577","0.0272727272727273","2","hsa-miR-148a-3p","hsa-miR-19b-3p",""
"NR1H3","0.000372456499137409","0.128360391650577","0.0204545454545455","2","hsa-miR-155-5p","hsa-miR-19b-3p",""
"NRD1","0.000742627989077657","0.128360391650577","0.0272727272727273","2","hsa-miR-148a-3p","hsa-miR-19b-3p",""
"SCML2","0.00025991979617718","0.128360391650577","0.0681818181818182","3","hsa-miR-148a-3p","hsa-miR-155-5p","hsa-miR-19b-3p"
"ZPLD1","0.000742627989077657","0.128360391650577","0.0272727272727273","2","hsa-miR-155-5p","hsa-miR-19b-3p",""
"INSIG2","0.00101168782204348","0.132027831412021","0.104545454545455","3","hsa-miR-148a-3p","hsa-miR-155-5p","hsa-miR-19b-3p"
"ITFG3","0.00123390496646749","0.132027831412021","0.0340909090909091","2","hsa-miR-148a-3p","hsa-miR-19b-3p",""
"JARID2","0.000879728540907377","0.132027831412021","0.1","3","hsa-miR-148a-3p","hsa-miR-155-5p","hsa-miR-19b-3p"
"PI4KA","0.00123390496646749","0.132027831412021","0.0340909090909091","2","hsa-miR-148a-3p","hsa-miR-19b-3p",""
"PTGES3","0.00123390496646749","0.132027831412021","0.0340909090909091","2","hsa-miR-148a-3p","hsa-miR-19b-3p",""
"RPS6KA5","0.00101168782204348","0.132027831412021","0.104545454545455","3","hsa-miR-148a-3p","hsa-miR-155-5p","hsa-miR-19b-3p"
"SPTY2D1","0.00101168782204348","0.132027831412021","0.104545454545455","3","hsa-miR-148a-3p","hsa-miR-155-5p","hsa-miR-19b-3p"
"WDR20","0.00123390496646749","0.132027831412021","0.0340909090909091","2","hsa-miR-148a-3p","hsa-miR-19b-3p",""
"SMAD5","0.00131388028836816","0.134194954907421","0.113636363636364","3","hsa-miR-148a-3p","hsa-miR-155-5p","hsa-miR-19b-3p"
"ABCD3","0.00184514492670833","0.137773487038286","0.0409090909090909","2","hsa-miR-148a-3p","hsa-miR-19b-3p",""
"CEP55","0.00184514492670833","0.137773487038286","0.0409090909090909","2","hsa-miR-148a-3p","hsa-miR-19b-3p",""
"ETV1","0.00256777908531082","0.137773487038286","0.140909090909091","3","hsa-miR-148a-3p","hsa-miR-155-5p","hsa-miR-19b-3p"
"ETV3","0.0020873559016075","0.137773487038286","0.131818181818182","3","hsa-miR-148a-3p","hsa-miR-155-5p","hsa-miR-19b-3p"
"FAM43A","0.0025752053652016","0.137773487038286","0.0477272727272727","2","hsa-miR-148a-3p","hsa-miR-19b-3p",""
"FAM83D","0.0025752053652016","0.137773487038286","0.0477272727272727","2","hsa-miR-155-5p","hsa-miR-19b-3p",""
"FUT9","0.00256777908531082","0.137773487038286","0.140909090909091","3","hsa-miR-148a-3p","hsa-miR-155-5p","hsa-miR-19b-3p"
"PPP6R1","0.00184514492670833","0.137773487038286","0.0409090909090909","2","hsa-miR-148a-3p","hsa-miR-19b-3p",""
"PRR5L","0.00184514492670833","0.137773487038286","0.0409090909090909","2","hsa-miR-148a-3p","hsa-miR-19b-3p",""
"RAB34","0.00184514492670833","0.137773487038286","0.0409090909090909","2","hsa-miR-148a-3p","hsa-miR-19b-3p",""
"RICTOR","0.00187142253247569","0.137773487038286","0.127272727272727","3","hsa-miR-148a-3p","hsa-miR-155-5p","hsa-miR-19b-3p"
"SGCB","0.0025752053652016","0.137773487038286","0.0477272727272727","2","hsa-miR-148a-3p","hsa-miR-19b-3p",""
"SLC25A44","0.0025752053652016","0.137773487038286","0.0477272727272727","2","hsa-miR-148a-3p","hsa-miR-19b-3p",""
"SMURF2","0.00256777908531082","0.137773487038286","0.140909090909091","3","hsa-miR-148a-3p","hsa-miR-155-5p","hsa-miR-19b-3p"
"SOCS1","0.0025752053652016","0.137773487038286","0.0477272727272727","2","hsa-miR-155-5p","hsa-miR-19b-3p",""
"TFDP2","0.00167091297542472","0.137773487038286","0.122727272727273","3","hsa-miR-148a-3p","hsa-miR-155-5p","hsa-miR-19b-3p"
"TMEM63B","0.00184514492670833","0.137773487038286","0.0409090909090909","2","hsa-miR-148a-3p","hsa-miR-19b-3p",""
"UBAP2L","0.0025752053652016","0.137773487038286","0.0477272727272727","2","hsa-miR-148a-3p","hsa-miR-19b-3p",""
"USP33","0.0025752053652016","0.137773487038286","0.0477272727272727","2","hsa-miR-148a-3p","hsa-miR-19b-3p",""
"ZNF804A","0.0025752053652016","0.137773487038286","0.0477272727272727","2","hsa-miR-148a-3p","hsa-miR-19b-3p",""
"ABCB7","0.0034229437773487","0.144971736452416","0.0545454545454545","2","hsa-miR-148a-3p","hsa-miR-19b-3p",""
"ARFIP1","0.00438721765855108","0.144971736452416","0.0613636363636364","2","hsa-miR-148a-3p","hsa-miR-19b-3p",""
"ATG4D","0.00438721765855108","0.144971736452416","0.0613636363636364","2","hsa-miR-148a-3p","hsa-miR-19b-3p",""
"B4GALT2","0.0034229437773487","0.144971736452416","0.0545454545454545","2","hsa-miR-148a-3p","hsa-miR-19b-3p",""
"BAG5","0.00438721765855108","0.144971736452416","0.0613636363636364","2","hsa-miR-155-5p","hsa-miR-19b-3p",""
"C8orf4","0.00438721765855108","0.144971736452416","0.0613636363636364","2","hsa-miR-155-5p","hsa-miR-19b-3p",""
"EOGT","0.00438721765855108","0.144971736452416","0.0613636363636364","2","hsa-miR-148a-3p","hsa-miR-19b-3p",""
"G2E3","0.00438721765855108","0.144971736452416","0.0613636363636364","2","hsa-miR-155-5p","hsa-miR-19b-3p",""
"GPR137B","0.0034229437773487","0.144971736452416","0.0545454545454545","2","hsa-miR-155-5p","hsa-miR-19b-3p",""
"GTF2H1","0.00438721765855108","0.144971736452416","0.0613636363636364","2","hsa-miR-148a-3p","hsa-miR-19b-3p",""
"LDLR","0.00438721765855108","0.144971736452416","0.0613636363636364","2","hsa-miR-148a-3p","hsa-miR-19b-3p",""
"MDFIC","0.00438721765855108","0.144971736452416","0.0613636363636364","2","hsa-miR-148a-3p","hsa-miR-19b-3p",""
"MTMR10","0.0034229437773487","0.144971736452416","0.0545454545454545","2","hsa-miR-148a-3p","hsa-miR-19b-3p",""
"NCKIPSD","0.0034229437773487","0.144971736452416","0.0545454545454545","2","hsa-miR-148a-3p","hsa-miR-19b-3p",""
"NUP43","0.00438721765855108","0.144971736452416","0.0613636363636364","2","hsa-miR-148a-3p","hsa-miR-155-5p",""
"PATL1","0.0034229437773487","0.144971736452416","0.0545454545454545","2","hsa-miR-148a-3p","hsa-miR-19b-3p",""
"PIK3CA","0.003116752544929","0.144971736452416","0.15","3","hsa-miR-148a-3p","hsa-miR-155-5p","hsa-miR-19b-3p"
"S1PR1","0.00373884629885635","0.144971736452416","0.159090909090909","3","hsa-miR-148a-3p","hsa-miR-155-5p","hsa-miR-19b-3p"
"SEC61A2","0.00438721765855108","0.144971736452416","0.0613636363636364","2","hsa-miR-155-5p","hsa-miR-19b-3p",""
"SMS","0.0034229437773487","0.144971736452416","0.0545454545454545","2","hsa-miR-148a-3p","hsa-miR-155-5p",""
"SNPH","0.00438721765855108","0.144971736452416","0.0613636363636364","2","hsa-miR-148a-3p","hsa-miR-19b-3p",""
"TGFBRAP1","0.00438721765855108","0.144971736452416","0.0613636363636364","2","hsa-miR-148a-3p","hsa-miR-19b-3p",""
"TNFRSF1B","0.00438721765855108","0.144971736452416","0.0613636363636364","2","hsa-miR-148a-3p","hsa-miR-19b-3p",""
"UCP3","0.00438721765855108","0.144971736452416","0.0613636363636364","2","hsa-miR-148a-3p","hsa-miR-19b-3p",""
"WNT1","0.0034229437773487","0.144971736452416","0.0545454545454545","2","hsa-miR-148a-3p","hsa-miR-19b-3p",""
"ZBTB18","0.0028334114044809","0.144971736452416","0.145454545454545","3","hsa-miR-148a-3p","hsa-miR-155-5p","hsa-miR-19b-3p"
"C9orf69","0.00546688450421013","0.146239160487621","0.0681818181818182","2","hsa-miR-155-5p","hsa-miR-19b-3p",""
"CCNA2","0.00546688450421013","0.146239160487621","0.0681818181818182","2","hsa-miR-148a-3p","hsa-miR-19b-3p",""
