"Gene Symbol","p-value","FDR","Odd ratio","Number of interactions","microRNA 1","microRNA 2","microRNA 3"
"ARRDC3","0.000020723111450757","0.0146028858689668","0.0206489675516224","3","hsa-miR-148a-3p","hsa-miR-19b-3p","hsa-miR-130b-5p"
"MOSPD2","0.0000186366277153164","0.0146028858689668","0.00404001539053482","2","hsa-miR-155-5p","hsa-miR-19b-3p",""
"RGL1","0.0000186366277153164","0.0146028858689668","0.00404001539053482","2","hsa-miR-155-5p","hsa-miR-19b-3p",""
"EIF4E2","0.0000619626927162032","0.0208775254373298","0.0067333589842247","2","hsa-miR-155-5p","hsa-miR-19b-3p",""
"GPAM","0.0000574345717007598","0.0208775254373298","0.0287289983326921","3","hsa-miR-155-5p","hsa-miR-21-3p","hsa-miR-19b-3p"
"PATL1","0.0000471225184215004","0.0208775254373298","0.0269334359368988","3","hsa-miR-19b-3p","hsa-miR-130b-5p","hsa-miR-148a-3p"
"RAB34","0.0000691308789315556","0.0208775254373298","0.0305245607284853","3","hsa-miR-155-5p","hsa-miR-148a-3p","hsa-miR-19b-3p"
"CPD","0.0000928246965948466","0.0218034898446117","0.00808003078106964","2","hsa-miR-155-5p","hsa-miR-19b-3p",""
"EXOC7","0.0000894507137415969","0.0218034898446117","0.0332179043221752","3","hsa-miR-155-5p","hsa-miR-130b-5p","hsa-miR-19b-3p"
"DNMT1","0.000104966104992766","0.0221898345954707","0.0350134667179684","3","hsa-miR-148a-3p","hsa-miR-155-5p","hsa-miR-19b-3p"
"LTN1","0.000129787688976457","0.0228642645413525","0.00942670257791458","2","hsa-miR-155-5p","hsa-miR-19b-3p",""
"MAT2B","0.000129787688976457","0.0228642645413525","0.00942670257791458","2","hsa-miR-155-5p","hsa-miR-21-3p",""
"MEF2A","0.000172827994341591","0.0278605747367366","0.0107733743747595","2","hsa-miR-155-5p","hsa-miR-19b-3p",""
"ZNF793","0.000184507117461832","0.0278605747367366","0.0421957163011415","3","hsa-miR-130b-5p","hsa-miR-3938","hsa-miR-21-3p"
"RAB14","0.000209153609859246","0.0293214432065741","0.0439912786969347","3","hsa-miR-155-5p","hsa-miR-19b-3p","hsa-miR-148a-3p"
"SECISBP2","0.000221921992102737","0.0293214432065741","0.0121200461716045","2","hsa-miR-155-5p","hsa-miR-130b-5p",""
"ARID3A","0.000235858346125215","0.0293296790416885","0.045786841092728","3","hsa-miR-425-3p","hsa-miR-148a-3p","hsa-miR-130b-5p"
"ITK","0.000277046116519391","0.0308250258064207","0.0134667179684494","2","hsa-miR-155-5p","hsa-miR-21-3p",""
"MAFB","0.000277046116519391","0.0308250258064207","0.0134667179684494","2","hsa-miR-155-5p","hsa-miR-148a-3p",""
"AURKB","0.000338176856613221","0.0324957215854704","0.0148133897652943","2","hsa-miR-155-5p","hsa-miR-148a-3p",""
"CEP55","0.000329072914841187","0.0324957215854704","0.0511735282801077","3","hsa-miR-155-5p","hsa-miR-19b-3p","hsa-miR-148a-3p"
"MAP3K14","0.000338176856613221","0.0324957215854704","0.0148133897652943","2","hsa-miR-155-5p","hsa-miR-19b-3p",""
"SEL1L","0.000405290756083313","0.0372515068852228","0.0161600615621393","2","hsa-miR-155-5p","hsa-miR-19b-3p",""
"EEF1E1","0.000478364413221499","0.0388947065211634","0.0175067333589842","2","hsa-miR-155-5p","hsa-miR-130b-5p",""
"EOGT","0.000464747362170441","0.0388947065211634","0.0574579966653841","3","hsa-miR-155-5p","hsa-miR-148a-3p","hsa-miR-19b-3p"
"MUT","0.000478364413221499","0.0388947065211634","0.0175067333589842","2","hsa-miR-155-5p","hsa-miR-130b-5p",""
"CAMTA1","0.000557374480827761","0.0436403574988847","0.0188534051558292","2","hsa-miR-155-5p","hsa-miR-19b-3p",""
"SMAD1","0.000642297666125729","0.0468212850410273","0.0202000769526741","2","hsa-miR-155-5p","hsa-miR-21-3p",""
