miRNA,Control mean,Autism mean,Fold change,pval,padj
hsa-miR-338-5p,195.14,866.47,4.44,5.47E?81,6.04E?78
hsa-miR-3168,1.79,16.51,9.23,3.07E?30,1.70E?27
hsa-miR-451a,797.35,1841.5,2.31,7.30E?20,2.69E?17
hsa-miR-21-5p,571.1,1304.5,2.28,1.34E?15,3.69E?13
hsa-miR-7-5p,131.07,309.53,2.36,4.85E?15,1.07E?12
hsa-miR-21-3p,20.9,60.5,2.89,3.40E?11,6.26E?09
hsa-miR-142-5p,9.69,26.67,2.75,2.03E?08,3.21E?06
hsa-miR-142-3p,3.68,10.97,2.98,2.34E?06,0.0003
hsa-miR-19a-3p,4.83,13.71,2.84,3.74E?06,0.0005
hsa-miR-211-5p,14.67,3.04,0.2071,4.12E?06,0.0005
hsa-miR-19b-3p,45.41,97.86,2.16,4.61E?06,0.0005
hsa-miR-219-5p,75.57,144.72,1.91,1.04E?05,0.001
hsa-miR-144-3p,2.25,7.73,3.43,1.25E?05,0.0011
hsa-miR-137,68.05,125.42,1.84,1.96E?05,0.0015
hsa-miR-34a-5p,81.74,47.38,0.5797,5.52E?05,0.0041
hsa-miR-146a-5p,72.06,121.44,1.69,8.27E?05,0.0054
hsa-let-376c-3p,23.28,44.75,1.92,8.00E?05,0.0054
hsa-let-7a-5p,18985.7,12852,0.6769,0.0004,0.0205
hsa-miR-379-5p,37,65.13,1.76,0.0003,0.0205
hsa-miR-92b-3p,2911.42,1957,0.6722,0.0008,0.0441
hsa-miR-3960,66.41,30.22,0.4551,0.0008,0.0441
hsa-miR-494,3.01,6.37,2.12,0.0009,0.0443
hsa-miR-155-5p,16.16,30.14,1.88,0.0009,0.0443
