miR ID,Beta.diagnosis (log2(fold change) ASD vs. CTL),FDR-adjusted Pval.diagnosis
hsa-let-7a-5p,0.170451143,0.060442598
hsa-let-7a-3p,0.074137912,0.769142891
hsa-let-7b-5p,0.14399527,0.072643575
hsa-let-7b-3p,-0.129362454,0.565862436
hsa-let-7c-5p,0.174006394,0.034460529
hsa-let-7c-3p,-0.058238798,0.802174711
hsa-let-7d-5p,0.112054885,0.22989522
hsa-let-7d-3p,-0.163867703,0.159103856
hsa-let-7e-5p,0.080226183,0.275902079
hsa-let-7e-3p,0.166630872,0.210938895
hsa-let-7f-5p,0.258788828,0.049341292
hsa-let-7f-2-3p,-0.071325187,0.732019941
hsa-let-7g-5p,0.141282524,0.09659666
hsa-let-7g-3p,-0.128141005,0.463419563
hsa-let-7i-5p,0.013787738,0.908308558
hsa-let-7i-3p,-0.287395511,0.009685597
hsa-miR-1,0.474433437,0.074191329
hsa-miR-100-5p,-0.224396458,0.060442598
hsa-miR-100-3p,0.185568309,0.379007844
hsa-miR-101-5p,0.012629435,0.908308558
hsa-miR-101-3p,0.112149976,0.174040959
hsa-miR-103a-3p,0.083648735,0.246360143
hsa-miR-103a-2-5p,0.0927706,0.718216574
hsa-miR-105-5p,-0.229629203,0.272029312
hsa-miR-105-3p,0.22004538,0.23101008
hsa-miR-106a-5p,-0.014666306,0.936507095
hsa-miR-106b-5p,0.086948595,0.27837989
hsa-miR-106b-3p,-0.019103748,0.841855339
hsa-miR-107,0.029797355,0.744234714
hsa-miR-10a-5p,-0.206901095,0.282305645
hsa-miR-10b-5p,-0.431592324,0.117462738
hsa-miR-1179,0.195512814,0.254835482
hsa-miR-1180-3p,0.330953624,0.067714459
hsa-miR-1185-5p,-0.032619554,0.756828291
hsa-miR-1185-1-3p,-0.101715098,0.530733611
hsa-miR-1197,0.087803575,0.562216264
hsa-miR-1224-5p,0.009918496,0.968659958
hsa-miR-124-5p,-0.191380058,0.049665764
hsa-miR-124-3p,-0.115257374,0.065454566
hsa-miR-1243,-0.289614459,0.218382042
hsa-miR-1249,0.141503275,0.528820244
hsa-miR-1250-5p,-0.016659715,0.947786332
hsa-miR-1251-5p,-0.223065235,0.455798355
hsa-miR-1252-5p,0.017597763,0.908308558
hsa-miR-1258,0.266518947,0.195832027
hsa-miR-125a-5p,-0.08870213,0.407368544
hsa-miR-125a-3p,0.208886367,0.195832027
hsa-miR-125b-5p,-0.0873928,0.400610923
hsa-miR-125b-1-3p,-0.197430766,0.150807509
hsa-miR-125b-2-3p,0.08190687,0.441421465
hsa-miR-126-5p,0.150642956,0.134195066
hsa-miR-126-3p,0.240907793,0.088805119
hsa-miR-1264,0.152919484,0.562178502
hsa-miR-127-5p,-0.2058309,0.008887362
hsa-miR-127-3p,-0.1550543,0.03185698
hsa-miR-1270,-0.063521081,0.806509147
hsa-miR-1271-5p,-0.339537067,0.148026935
hsa-miR-1273h-3p,0.317195012,0.187985451
hsa-miR-1277-5p,-0.035860269,0.137973098
hsa-miR-1277-3p,0.09575833,0.687379273
hsa-miR-128-1-5p,0.340018414,0.024453313
hsa-miR-128-3p,0.111240148,0.285243272
hsa-miR-128-2-5p,0.237093259,0.195832027
hsa-miR-1283,0.031467717,0.892915857
hsa-miR-1285-3p,0.159143827,0.085749995
hsa-miR-1286,0.047572502,0.766756184
hsa-miR-1287-5p,-0.069045894,0.721831334
hsa-miR-129-5p,-0.277065156,0.037080032
hsa-miR-129-1-3p,0.001647785,0.99457103
hsa-miR-129-2-3p,-0.12386807,0.368876425
hsa-miR-1296-5p,-0.179964072,0.078116567
hsa-miR-1296-3p,-0.299750516,0.03185698
hsa-miR-1298-5p,0.330833528,0.468497474
hsa-miR-1298-3p,0.11459959,0.717984726
hsa-miR-1299,-0.011859913,0.988587844
hsa-miR-1301-3p,-0.141935454,0.12811918
hsa-miR-1306-5p,-0.140737584,0.448996075
hsa-miR-1307-5p,-0.134661994,0.418810488
hsa-miR-1307-3p,0.315421909,0.015540797
hsa-miR-130a-3p,0.133262324,0.11215554
hsa-miR-130b-5p,0.376328404,0.03185698
hsa-miR-130b-3p,0.084029033,0.482266489
hsa-miR-132-5p,0.042208838,0.77394546
hsa-miR-132-3p,-0.035470003,0.855027206
hsa-miR-133a-3p,-0.254722585,0.006761029
hsa-miR-133b,-0.072981043,0.637944317
hsa-miR-134-5p,-0.175974682,0.174812789
hsa-miR-134-3p,0.256910991,0.157498168
hsa-miR-135a-5p,0.218453423,0.074191329
hsa-miR-135b-5p,0.165321806,0.463419563
hsa-miR-135b-3p,0.108715063,0.614355617
hsa-miR-136-5p,0.123838458,0.142032871
hsa-miR-136-3p,0.044905767,0.556349464
hsa-miR-137,0.207966999,0.648390847
hsa-miR-138-5p,-0.145409915,0.149297388
hsa-miR-138-1-3p,-0.159593897,0.393559768
hsa-miR-138-2-3p,-0.03424984,0.908308558
hsa-miR-139-5p,-0.054206964,0.802174711
hsa-miR-139-3p,0.326876537,0.094526348
