miRNA,log2(fold change),FDR-adjusted Pval.diagnosis,Mean RPM
hsa-let-7a-5p,-0.109880963,0.162783886,22414.3
hsa-let-7a-3p,-0.119866709,0.417209131,28.7
hsa-let-7b-5p,-0.007699434,0.970997933,5753.7
hsa-let-7b-3p,0.118766901,0.689123755,11.0
hsa-let-7c-5p,0.087064183,0.352400664,5737.8
hsa-let-7c-3p,0.160945597,0.490725432,2.7
hsa-let-7d-5p,-0.094556323,0.387799748,783.5
hsa-let-7d-3p,0.090074966,0.498101467,26.9
hsa-let-7e-5p,-0.183960166,0.065932071,1644.9
hsa-let-7e-3p,0.257636329,0.21665973,7.7
hsa-let-7f-5p,-0.212506694,0.193113473,21205.5
hsa-let-7f-2-3p,0.141075012,0.538515687,4.8
hsa-let-7g-5p,-0.006643901,0.965910505,6190.5
hsa-let-7g-3p,0.400770958,0.003226404,11.6
hsa-let-7i-5p,-0.075790049,0.464720797,5687.7
hsa-let-7i-3p,-0.070085204,0.71365584,18.9
hsa-miR-1,0.057958736,0.874903931,8.2
hsa-miR-100-5p,0.117775595,0.461942763,3147.4
hsa-miR-100-3p,-0.033056861,0.918936567,3.2
hsa-miR-101-5p,-0.00858231,0.951791408,80.0
hsa-miR-101-3p,-0.135673396,0.056906843,9408.9
hsa-miR-103a-3p,0.168883759,0.076262278,9887.3
hsa-miR-103a-2-5p,0.309801408,0.071053259,2.4
hsa-miR-105-5p,0.174760134,0.284783033,8.6
hsa-miR-105-3p,0.278992156,0.057280701,4.1
hsa-miR-106a-5p,0.232703424,0.160312265,12.3
hsa-miR-106b-5p,0.005662795,0.970997933,140.7
hsa-miR-106b-3p,0.140198864,0.343996107,58.4
hsa-miR-107,0.280419241,0.043468389,2630.7
hsa-miR-10a-5p,0.497131661,0.046494606,178.4
hsa-miR-10b-5p,-0.083360348,0.811065547,162.4
hsa-miR-1179,0.064986542,0.667374388,20.4
hsa-miR-1180-3p,0.072392614,0.803884564,39.4
hsa-miR-1185-5p,-0.103024058,0.338767375,83.9
hsa-miR-1185-1-3p,0.033825798,0.929144516,9.2
hsa-miR-1197,0.06024759,0.752765911,34.6
hsa-miR-1224-5p,0.283771836,0.181729751,7.3
hsa-miR-124-5p,-0.038088623,0.784933351,66.6
hsa-miR-124-3p,-0.083512986,0.552236814,11729.1
hsa-miR-1243,0.20292019,0.20670285,4.1
hsa-miR-1249,0.248890492,0.381956566,9.1
hsa-miR-1250-5p,-0.090996177,0.803884564,5.1
hsa-miR-1251-5p,-0.002995162,0.995913281,10.6
hsa-miR-1252-5p,0.001117481,0.998137282,10.0
hsa-miR-1258,0.058764253,0.873132531,1.6
hsa-miR-125a-5p,0.056804053,0.552236814,6046.3
hsa-miR-125a-3p,0.152243325,0.532156386,2.6
hsa-miR-125b-5p,0.077254233,0.461942763,5474.5
hsa-miR-125b-1-3p,0.036303011,0.825291046,192.8
hsa-miR-125b-2-3p,0.006511784,0.970997933,1216.3
hsa-miR-126-5p,-0.002248596,0.992128191,11744.9
hsa-miR-126-3p,0.067157795,0.703701069,2286.8
hsa-miR-1264,0.226878293,0.27333773,8.0
hsa-miR-127-5p,-0.0414886,0.681650158,224.2
hsa-miR-127-3p,-0.049336686,0.592146967,16336.8
hsa-miR-1270,0.262003395,0.343996107,2.9
